solution,best_heuristic,second_best_heuristic
0011001100,LH3,LH4
0011010100,LH3,LH4
0010110001,LH3,LH4
0101100010,LH2,LH3
1000011100,LH3,LH4
0010010101,LH1,LH3
0011010100,LH3,LH4
1101010000,LH3,LH4
0100010110,LH3,LH4
0000101101,LH1,LH3
0101100001,LH1,LH3
0000001111,LH1,LH3
0100100110,LH3,LH4
1000110010,LH3,LH4
0000111001,LH3,LH4
0101101000,LH3,LH4
0100010101,LH3,LH4
1001110000,LH1,LH2
1110100000,LH1,LH3
0010101001,LH2,LH3
1010010100,LH3,LH4
0001001101,LH3,LH4
0001001101,LH3,LH4
1011010000,LH3,LH4
0111000010,LH3,LH4
0011000011,LH1,LH2
1110010000,LH3,LH4
0101001010,LH3,LH4
0110000101,LH1,LH2
0111000100,LH3,LH4
1010001001,LH1,LH3
1110001000,LH3,LH4
1001001010,LH1,LH2
0100100101,LH3,LH4
0100101001,LH3,LH4
0101001100,LH3,LH4
0100101001,LH1,LH3
0011010010,LH3,LH4
0101010100,LH3,LH4
0111000001,LH3,LH4
0010011010,LH1,LH3
1010011000,LH1,LH3
0001101001,LH2,LH3
0010010011,LH3,LH4
1110000100,LH1,LH3
1001001100,LH3,LH4
1101000001,LH2,LH3
0101101000,LH3,LH4
1100100001,LH1,LH3
1010011000,LH3,LH4
1000110100,LH4,LH2
0000011011,LH3,LH4
1011100000,LH2,LH3
1100000101,LH1,LH3
0000111001,LH1,LH3
1100100001,LH3,LH4
1011001000,LH3,LH4
0000111001,LH3,LH4
0110100001,LH1,LH3
0000110101,LH3,LH4
1001000011,LH1,LH3
1011100000,LH1,LH3
1010001010,LH3,LH4
1001100001,LH2,LH3
0111000001,LH3,LH4
0001100011,LH1,LH3
1100110000,LH4,LH3
0100100110,LH1,LH3
1000111000,LH4,LH1
1100001100,LH1,LH3
0010101100,LH1,LH3
1000010110,LH4,LH1
1100000101,LH2,LH3
0110001010,LH3,LH4
0110100001,LH1,LH3
1101010000,LH2,LH3
0100100110,LH1,LH3
0011001010,LH1,LH3
1000010110,LH2,LH4
1001101000,LH1,LH2
1100110000,LH4,LH1
1100100100,LH1,LH3
1001101000,LH2,LH3
1000100110,LH1,LH3
1101001000,LH3,LH4
1000100011,LH1,LH3
0111001000,LH3,LH4
0001001110,LH2,LH3
0100010110,LH1,LH2
0111000100,LH1,LH3
1100001010,LH1,LH3
1000100101,LH1,LH2
1011010000,LH3,LH4
0110000011,LH1,LH3
1100100100,LH1,LH2
1100000110,LH1,LH2
0100010011,LH2,LH3
1001101000,LH1,LH2
1010001001,LH1,LH3
1101010000,LH1,LH2
0101100010,LH1,LH3
0001110001,LH1,LH3
1001010100,LH1,LH3
0101010100,LH3,LH4
0010001110,LH3,LH4
1010001001,LH3,LH4
1100010010,LH4,LH3
0001011100,LH1,LH2
0001010011,LH3,LH4
0001011100,LH1,LH2
0110100001,LH1,LH3
1000010101,LH3,LH4
0100011001,LH3,LH4
1000010011,LH2,LH3
0001000111,LH1,LH2
0101001010,LH1,LH3
1001000110,LH2,LH3
1010001001,LH3,LH4
0011100001,LH3,LH4
0011000101,LH1,LH3
0110001001,LH1,LH2
0101100100,LH3,LH4
1100010100,LH1,LH2
0001101001,LH3,LH4
0001001011,LH1,LH3
0010011100,LH1,LH3
0110001010,LH3,LH4
0010100110,LH2,LH3
1000010011,LH1,LH3
1010010010,LH2,LH3
1000001011,LH1,LH3
1001100001,LH3,LH4
1001010010,LH3,LH4
0110010010,LH3,LH4
0111000010,LH1,LH3
0011001010,LH3,LH4
0101100100,LH1,LH3
1000100011,LH1,LH3
1011010000,LH2,LH3
1001010010,LH3,LH4
0110000110,LH3,LH4
0110010001,LH3,LH4
0001011100,LH1,LH2
1001101000,LH2,LH3
0100010110,LH2,LH3
0001001101,LH3,LH4
0000111100,LH2,LH3
1001010100,LH1,LH3
1001000110,LH3,LH4
0100100101,LH1,LH3
1011000010,LH3,LH4
1001011000,LH2,LH3
0100011010,LH4,LH1
0001011001,LH3,LH4
1101001000,LH3,LH4
1000100101,LH1,LH3
0000101101,LH3,LH4
1001110000,LH3,LH4
0000110011,LH1,LH3
1011100000,LH1,LH3
1111000000,LH3,LH4
0101100100,LH3,LH4
0001010011,LH3,LH4
1100100001,LH3,LH4
1000110001,LH1,LH2
0010100101,LH3,LH4
0011001100,LH1,LH3
0100010101,LH2,LH3
0011001010,LH1,LH3
1001110000,LH2,LH3
1010100100,LH3,LH4
1101100000,LH1,LH2
1001000011,LH2,LH3
0011000110,LH3,LH4
1001000101,LH1,LH3
1100011000,LH1,LH3
0001001101,LH3,LH4
0001111000,LH4,LH1
0011001100,LH3,LH4
1001000011,LH2,LH3
0101010010,LH3,LH4
0000001111,LH3,LH4
0010010011,LH2,LH3
0100100101,LH1,LH3
0101001010,LH1,LH3
1100110000,LH1,LH4
1010000011,LH3,LH4
0000111100,LH1,LH3
0000100111,LH1,LH3
0011110000,LH3,LH4
0110010100,LH1,LH3
0001100011,LH1,LH2
1000110010,LH1,LH3
1000101100,LH4,LH1
